9/7 09:50:26.066  ZONE_CHANGE,429,"Dire Maul",1
9/7 09:52:40.999  MAP_CHANGE,236,"Dire Maul",200.000000,-150.000000,650.000000,125.000000
9/7 09:52:47.862  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11459-0000F97A05,"Ironbark Protector",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-4249-429-9259-11459-0000F97A05,0000000000000000,0,16280,0,0,424,0,1,0,0,0,43.21,203.84,236,3.6891,30,1603603,1603603,1587323,64,0,0,0,nil,nil,nil
9/7 09:52:47.893  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11459-0000F97A05,"Ironbark Protector",0x10a48,0x0,0
9/7 09:52:49.286  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11459-0001F97A05,"Ironbark Protector",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-4249-429-9259-11459-0001F97A05,0000000000000000,0,15072,0,0,406,0,1,0,0,0,8.19,219.05,236,5.6632,29,1618674,1618673,1603602,64,0,0,0,nil,nil,nil
9/7 09:52:49.312  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11459-0001F97A05,"Ironbark Protector",0x10a48,0x0,0
9/7 09:52:57.457  SWING_DAMAGE_LANDED,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0003F97A05,"Petrified Treant",0x10a48,0x0,Creature-0-4249-429-9259-11458-0003F97A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,-20.63,187.47,236,0.4965,29,3843285,3942585,3833865,1,0,0,0,nil,nil,nil
9/7 09:52:57.478  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0003F97A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:52:57.541  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0002F97A05,"Petrified Treant",0xa48,0x0,77758,"Thrash",0x1,Creature-0-4249-429-9259-11458-0002F97A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-12.13,194.52,236,4.0577,30,4191972,4191972,4181797,1,0,0,0,nil,nil,nil
9/7 09:52:57.541  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0003797A05,"Petrified Treant",0x10a48,0x0,77758,"Thrash",0x1,Creature-0-4249-429-9259-11458-0003797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-24.31,198.78,236,5.5273,30,8407314,4203657,8397139,1,0,0,0,1,nil,nil
9/7 09:52:57.551  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0002F97A05,"Petrified Treant",0xa48,0x0,0
