group,key,en-US,de-DE,es-ES,es-MX,fr-FR,it-IT,ko-KR,pt-BR,ru-RU,uk-UA
affixes,bolstering.name,Bolstering,,,,,,,,,Bolstering
affixes,bolstering.description,"When any non-boss enemy dies, its death cry empowers nearby allies, increasing their maximum health and damage by 20%.",,,,,,,,,"Коли помирає будь-який ворог, що не є босом, його передсмертний крик посилює союзників поблизу, збільшуючи їхнє максимальне здоров’я й шкоду на 20%."
affixes,bursting.name,Bursting,,,,,,,,,Bursting
affixes,bursting.description,"When slain, non-boss enemies explode, causing all players to suffer 10% of their max health in damage over 4 sec. This effect stacks.",,,,,,,,,"Вороги, що не є босами, вибухають після смерті, завдаючи всім гравцям шкоди рівної 10% від їхнього максимального здоров’я впродовж 4 секунд. Ефект накопичується."
affixes,explosive.name,Explosive,,,,,,,,,Explosive
affixes,explosive.description,"While in combat, enemies periodically summon Explosive Orbs that will detonate if not destroyed.",,,,,,,,,"У бою вороги час від часу прикликають розжарені сфери, які вибухають, якщо їх не знищити."
affixes,fortified.name,Fortified,,,,,,,,,Fortified
affixes,fortified.description,Non-boss enemies have 20% more health and inflict up to 20% increased damage.,,,,,,,,,"Вороги, що не є босами, мають на 20% більше здоров’я й завдають до 20% більшої шкоди."
affixes,grievous.name,Grievous,,,,,,,,,Grievous
affixes,grievous.description,"When injured below 90% health, players will suffer increasing damage over time until healed above 90% health.",,,,,,,,,"Поранені гравці зазнають дедалі більшої тривалої шкоди, доки їхній рівень здоров'я нижче 90%."
affixes,infested.name,Infested,,,,,,,,,Infested
affixes,infested.description,Some non-boss enemies have been infested with a Spawn of G'huun.,,,,,,,,,"Деякі вороги, що не є босами, заражені поріддям Ґ’ууна."
affixes,necrotic.name,Necrotic,,,,,,,,,Necrotic
affixes,necrotic.description,All enemies' melee attacks apply a stacking blight that inflicts damage over time and reduces healing received.,,,,,,,,,"Усі ворожі атаки ближнього бою накладають накопичувальний ефект чуми, що завдає тривалої шкоди й зменшує отримуване зцілення."
affixes,quaking.name,Quaking,,,,,,,,,Quaking
affixes,quaking.description,"Periodically, all players emit a shockwave, inflicting damage and interrupting nearby allies.",,,,,,,,,"Час від часу всі гравці випускають ударну хвилю, яка завдає шкоди й перериває закляття союзників."
affixes,raging.name,Raging,,,,,,,,,Raging
affixes,raging.description,"Non-boss enemies enrage at 30% health, becoming immune to crowd control other than interrupts.",,,,,,,,,"Коли рівень здоров’я ворогів, що не є босами, падає до 30%, вони скаженіють і стають невразливими до всіх ефектів контролю, окрім переривань."
affixes,relentless.name,Relentless,,,,,,,,,Relentless
affixes,relentless.description,Non-boss enemies are granted temporary immunity to Loss of Control effects.,,,,,,,,,"Вороги, що не є босами, отримують тимчасову невразливість до ефектів втрати контролю."
affixes,sanguine.name,Sanguine,,,,,,,,,Sanguine
affixes,sanguine.description,"When slain, non-boss enemies leave behind a lingering pool of ichor that heals their allies and damages players.",,,,,,,,,"Вороги, що не є босами, залишають після смерті криваву калюжу, яка зцілює їхніх союзників і завдає шкоди гравцям."
affixes,skittish.name,Skittish,,,,,,,,,Skittish
affixes,skittish.description,Enemies pay far less attention to threat generated by tanks.,,,,,,,,,"Вороги значно менше реагують на рівень загрози, створюваний танками."
affixes,teeming.name,Teeming,,,,,,,,,Teeming
affixes,teeming.description,Additional non-boss enemies are present throughout the dungeon.,,,,,,,,,"У підземеллі присутні додаткові вороги, що не є босами."
affixes,tyrannical.name,Tyrannical,,,,,,,,,Tyrannical
affixes,tyrannical.description,Boss enemies have 25% more health and inflict up to 15% increased damage.,,,,,,,,,Боси мають на 25% більше здоров’я й завдають до 15% більшої шкоди.
affixes,volcanic.name,Volcanic,,,,,,,,,Volcanic
affixes,volcanic.description,"While in combat, enemies periodically cause gouts of flame to erupt beneath the feet of distant players.",,,,,,,,,У бою вороги час від часу спричиняють викид полум’я під ногами віддалених гравців.
affixes,reaping.name,Reaping,,,,,,,,,Reaping
affixes,reaping.description,Non-boss enemies are empowered by Bwonsamdi and periodically seek vengeance from beyond the grave.,,,,,,,,,"Вороги, що не є босами, посилені Бвонсамді й час від часу шукають помсти після смерті."
affixes,beguiling.name,Beguiling,,,,,,,,,Beguiling
affixes,beguiling.description,Azshara's Emissaries are present throughout the dungeon.,,,,,,,,,У підземеллі присутні посланниці Азшари.
affixes,awakened.name,Awakened,,,,,,,,,Awakened
affixes,awakened.description,"Obelisks throughout the dungeon allow players to enter Ny'alotha and confront powerful servants of N'Zoth. If a servant is not dealt with, they must be faced during the final boss encounter.",,,,,,,,,"Обеліски в підземеллі дозволяють гравцям увійти в Ні’алоту й поборотися з могутніми слугами Н’Зота. Якщо їх не подолати, вони з’являться під час бою з останнім босом."
affixes,inspiring.name,Inspiring,,,,,,,,,Inspiring
affixes,inspiring.description,Some non-boss enemies have an inspiring presence that strengthens their allies.,,,,,,,,,"Деякі вороги, що не є босами, надихають й посилюють союзників поблизу."
affixes,spiteful.name,Spiteful,,,,,,,,,Spiteful
affixes,spiteful.description,Fiends rise from the corpses of non-boss enemies and pursue random players.,,,,,,,,,"З трупів ворогів, що не є босами, постають покручі, які переслідують випадкових гравців."
affixes,storming.name,Storming,,,,,,,,,Storming
affixes,storming.description,"While in combat, enemies periodically summon damaging whirlwinds.",,,,,,,,,У бою вороги час від часу прикликають небезпечні вихори.
affixes,prideful.name,Prideful,,,,,,,,,Prideful
affixes,prideful.description,"Players overflow with pride as they defeat non-boss enemies, eventually forming a Manifestation of Pride. Defeating this Manifestation greatly empowers players.",,,,,,,,,"Гравці наповнюються гординею після вбивства ворогів, що не є босами, і згодом утворюють утілення гордині (Manifestation of Pride). Перемога над ним значно посилює гравців."
affixes,tormented.name,Tormented,,,,,,,,,Tormented
affixes,tormented.description,"Servants of the Jailer can be found throughout the dungeon and grant powerful boons when defeated. If a servant is not dealt with, they empower the final boss.",,,,,,,,,"У підземеллі можна зустріти слуг Тюремника, які надають могутні дари після смерті. Якщо їх не вбити, слуги посилять останнього боса."
affixes,unknown.name,Unknown,,,,,,,,,Невідомий
affixes,unknown.description,The affixes for this week are not known yet.,,,,,,,,,Модифікатори цього тижня ще невідомі.
affixes,infernal.name,Infernal,,,,Infernal,,,,,Infernal
affixes,infernal.description,Infernal Beacons can be found near some bosses. Activating a Beacon or engaging a nearby boss will trigger a Legion invasion.,,,,,,,,,Поблизу деяких босів розташовані пекельні маяки (Infernal Beacons). Активація маяка або бій з босом спричиняє вторгнення Легіону.
affixes,encrypted.name,Encrypted,,,,,,,,,Encrypted
affixes,encrypted.description,"Enemies throughout the dungeon possess relics of the First Ones. Destroy the relics to summon the First Ones' Automa and gain powerful bonuses, based on the order in which they were destroyed.",,,,,,,,,"Вороги в підземеллі володіють реліквіями Передвічних. Знищте реліквії, щоб прикликати автомів Передвічних і здобути могутні посилення залежно від порядку знищення."
affixes,shrouded.name,Shrouded,,,,,,,,,Shrouded
affixes,shrouded.description,Nathrezim infiltrators have disguised themselves among enemies throughout the dungeon. Cartel Ta will reward you handsomely for assisting in their capture.,,,,,,,,,Натрезимські шпигуни замаскувалися серед ворогів у підземеллі. Картель Та щедро нагородить вас за допомогу в їхньому затриманні.
affixes,thundering.name,Thundering,,,,,,,,,Thundering
